id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
6TbLXyf2IUvPQmlu1SSHLs,MEXICAN FUNK,2205848,3.65714,95.56172,-1.964,129.933,4,8,1,6zFMFB1JvNHkHvCSudF4id,25-08-2023,535878,8240,168,198075,['phonk brasileiro'],S3BZS,66
14E117Ikw43Vljys3fAsNU,Respeito,2560026,0.0,103.9151,-3.983,130.115,4,11,1,6zFMFB1JvNHkHvCSudF4id,04-05-2024,144238,3415,88,198075,['phonk brasileiro'],S3BZS,66
1pM4xHgkkIUsJHd95LwL6Y,TROLLIE,1502569,0.0,68.14372,-4.692,99.987,4,4,0,6zFMFB1JvNHkHvCSudF4id,12-07-2024,120445,2064,47,198075,['phonk brasileiro'],S3BZS,66
3mX7vRytOrduB8IysTVvhO,SAXO FUNK,2329455,0.0,99.42204,-5.159,130.006,4,1,1,4jM6R2LK78dVTqHVUoA4li,21-03-2024,205121,3278,25,28520,['gym phonk'],808iuli,71
2EaS3WnOa9grF2QFTtFb5D,MONTAGEM - PR FUNK - Kiraw Remix,1587600,0.0,72.0,-5.961,99.831,4,0,0,6zFMFB1JvNHkHvCSudF4id,11-07-2023,107064,2326,41,198075,['phonk brasileiro'],S3BZS,66
6bJfNMxoFGFdFocVzuar0Q,REGGAETROLL,1458883,0.0,64.12771,-2.823,99.959,4,1,0,6zFMFB1JvNHkHvCSudF4id,02-08-2024,198454,2831,55,198075,['phonk brasileiro'],S3BZS,66
72lI72VRhqS43ABValBW25,PR IN RIO,1730077,0.0,78.46154,-0.646,130.014,4,9,1,6zFMFB1JvNHkHvCSudF4id,11-08-2023,1696724,36854,940,198075,['phonk brasileiro'],S3BZS,66
1BJJbSX6muJVF2AK7uH1x4,Move,3916047,0.07433,174.69533,-8.529,119.992,4,8,0,2loEsOijJ6XiGzWYFXMIRk,11-10-2024,2465390,66121,1622,197756,['melodic house'],Adam Port,77
7shT6hTBBFtP5zvOFOqFnr,Make It Out Alive - The Spider Within: A Spider-Verse Story,4647037,0.3063,204.17307,-4.2,160.029,4,7,0,37lTKHi901VnwngQ7C8noT,05-04-2024,311601,8578,364,7412,[],Malachiii,75
3xVGedDMYiYeH9AuHOFYth,How To Be A Star,2769206,0.33116,121.20816,-6.49,157.848,4,6,0,37lTKHi901VnwngQ7C8noT,26-08-2022,140646,1845,237,7412,[],Malachiii,75
1Ap1JFqbOrBxDWBSi0orQW,Round N Round,4233600,0.0,188.00616,-5.803,122.031,4,0,0,37lTKHi901VnwngQ7C8noT,23-02-2024,5013,176,38,7412,[],Malachiii,75
2ErtnVRN0gkGzcTx4KLFW4,Hold Me,4273878,0.0,190.89125,-6.616,58.766,4,8,1,37lTKHi901VnwngQ7C8noT,27-09-2024,43137,583,6,7412,[],Malachiii,75
1e5ha2rmASdXLupWKEhzHp,Back When We Were Kids,3921078,0.07546,175.29906,-10.042,78.908,4,11,1,37lTKHi901VnwngQ7C8noT,01-06-2022,26267,143,30,7412,[],Malachiii,75
5A3steFi82pbosMlFvKIHF,WYM?!,4235055,0.06381,180.65125,-7.093,144.996,4,6,0,37lTKHi901VnwngQ7C8noT,18-09-2020,38344,1782,156,7412,[],Malachiii,75
6xpVszkYqkiSeTWm5wLDCr,Free My Soul,3222418,2.51356,141.04381,-7.634,93.756,3,3,1,37lTKHi901VnwngQ7C8noT,26-10-2021,166328,654,60,7412,[],Malachiii,75
