id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
5OyyKkQm8VBRTq6jeSbkWW,Halloween v3,193764,False,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,243718,4272512,0.0,185.6029,-9.55,84.988,4,1,1
4Qwzw8eFrFYUkegexOtyNm,Minuit,207240,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-02-07,52,639209,202409,4569654,2.64707,202.95401,-14.946,122.089,4,6,0
1AoVPFt1EmDqa5TxTzuese,Stafit,227890,True,LFERDA,0bmKQDkU4J3gUykZS8tb6v,2024-05-10,57,1028666,209497,5024993,0.0,222.99283,-9.284,102.967,4,7,0
05CEmWl3xGITe99ZZkgl2c,Rwicha,176326,False,7liwa,7fmcLXdUj5tVr806b7Uzt3,2024-01-06,52,639209,210984,3888000,0.0,172.14113,-10.241,176.739,4,11,1
580BvW3DyUNoYFgQgoD2GI,Hold On,180121,False,高爾宣 OSN,4TcOznbEZBqev21LzAH4KE,2024-06-14,60,418541,1952675,3971688,0.3542,175.50803,-5.364,75.982,4,9,1
4HLYZKtAd0hUYVpe8NywZr,SEX TAPE,255287,True,ØZI,7Icsejk4pdIhkq2KO5A0jD,2024-03-27,58,216114,1033687,5629088,3.20435,247.65823,-6.349,124.991,4,10,0
3IuzTuGnsywoYnroIHI8VN,躺在你怀里做一场梦,242030,False,颜人中,5PNcqs6EtD6gSXgUiiJIUU,2024-07-16,61,233431,397000,5336774,0.44045,234.97433,-7.049,112.023,4,11,1
5P66jWpMGuRtTrJHz2pneh,EEEASY,180293,True,ØZI,7Icsejk4pdIhkq2KO5A0jD,2024-07-12,58,216114,730379,3975468,0.52254,177.12181,-6.098,102.044,4,2,0
5NykvdFrH8mejmohWZvIWo,這麼多年 - 電影《我想和你在一起》插曲,252000,False,陳華,5ZxRmJ21NzjxD2ZGBxi7um,2024-06-07,55,42848,801247,5556600,0.88812,240.52971,-7.368,129.511,4,3,1
1n6zzsU50f2nGCvCD7UMx6,左邊的人,216585,False,陳華,5ZxRmJ21NzjxD2ZGBxi7um,2024-08-23,55,42848,740045,4775707,0.93034,205.59528,-9.448,122.398,4,1,1
